iter	Passed	Remaining
666	1087	542
667	1088	541
668	1090	539
669	1091	537
670	1092	535
671	1094	534
672	1095	532
673	1097	530
674	1098	528
675	1099	527
676	1101	525
677	1102	523
678	1103	521
679	1105	520
680	1106	518
681	1108	516
682	1109	514
683	1111	513
684	1112	511
685	1113	509
686	1114	507
687	1116	506
688	1117	504
689	1119	502
690	1120	501
691	1121	499
692	1123	497
693	1124	495
694	1125	494
695	1127	492
696	1128	490
697	1130	488
698	1131	487
699	1132	485
700	1134	483
701	1135	482
702	1137	480
703	1138	478
704	1139	477
705	1141	475
706	1142	473
707	1143	471
708	1145	469
709	1146	468
710	1147	466
711	1148	464
712	1150	463
713	1151	461
714	1152	459
715	1154	457
716	1155	456
717	1157	454
718	1158	452
719	1159	451
720	1161	449
721	1163	447
722	1164	446
723	1165	444
724	1167	442
725	1168	440
726	1169	439
727	1170	437
728	1172	435
729	1173	434
730	1175	432
731	1176	430
732	1177	428
733	1179	427
734	1180	425
735	1181	423
736	1183	422
737	1184	420
738	1185	418
739	1187	417
740	1188	415
741	1189	413
742	1191	412
743	1192	410
744	1194	408
745	1196	407
746	1197	405
747	1199	404
748	1200	402
749	1202	400
750	1203	399
751	1204	397
752	1206	395
753	1207	393
754	1208	392
755	1210	390
756	1211	388
757	1212	387
758	1214	385
759	1215	383
760	1217	382
761	1218	380
762	1219	378
763	1221	377
764	1222	375
765	1223	373
766	1224	372
767	1226	370
768	1227	368
769	1228	367
770	1230	365
771	1231	363
772	1232	362
773	1234	360
774	1235	358
775	1236	357
776	1238	355
777	1239	353
778	1241	352
779	1242	350
780	1243	348
781	1245	347
782	1246	345
783	1248	343
784	1249	342
785	1251	340
786	1252	338
787	1254	337
788	1255	335
789	1257	334
790	1258	332
791	1260	330
792	1261	329
793	1263	327
794	1264	326
795	1265	324
796	1267	322
797	1268	321
798	1270	319
799	1271	317
800	1272	316
801	1274	314
802	1275	312
803	1276	311
804	1278	309
805	1279	307
806	1280	306
807	1282	304
808	1283	303
809	1284	301
810	1286	299
811	1287	298
812	1288	296
813	1289	294
814	1290	293
815	1292	291
816	1293	289
817	1294	288
818	1295	286
819	1296	284
820	1298	283
821	1299	281
822	1300	279
823	1301	278
824	1303	276
825	1304	274
826	1305	273
827	1306	271
828	1307	269
829	1309	268
830	1310	266
831	1311	264
